SiteID,Latitude,Longitude,CountyFIPS,SiteType,GridNodeID,PlantID,ZoningCode
Site_051,45.15272,-120.85469,36340,PowerPlant,Node_6448,Plant_938,COMMERCIAL
Site_052,38.64989,-94.29896,26969,PowerPlant,Node_5714,nan,COMMERCIAL
Site_053,48.69408,-109.3921,39381,PowerPlant,Node_2868,nan,INDUSTRIAL
Site_054,26.33903,-86.50802,24139,BusStation,Node_4522,,DATA_CENTER_OK
Site_055,36.38235,-95.35446,41602,PowerPlant,Node_3958,nan,COMMERCIAL
Site_056,41.39536,-121.18914,47901,BusStation,Node_9446,,COMMERCIAL
Site_057,30.97216,-124.37491,38075,BusStation,Node_2478,,COMMERCIAL
Site_058,39.75871,-117.31749,23458,BusStation,Node_9432,,AGRICULTURAL
Site_059,41.52615,-96.69211,55722,TransmissionNode,Node_7397,,COMMERCIAL
Site_060,31.77444,-117.31034,46221,PowerPlant,Node_4266,nan,RESIDENTIAL
Site_061,36.59085,-120.95765,11907,BusStation,Node_2235,,NO_DATA_CENTER
Site_062,43.94029,-69.39259,11528,PowerPlant,Node_3927,nan,COMMERCIAL
Site_063,27.30837,-110.11068,13536,PowerPlant,Node_2726,Plant_593,DATA_CENTER_OK
Site_064,41.21556,-93.29393,25891,TransmissionNode,Node_2844,,DATA_CENTER_OK
Site_065,32.66056,-79.65989,41127,BusStation,Node_9231,,AGRICULTURAL
Site_066,26.58218,-69.55682,10669,PowerPlant,Node_9625,Plant_820,AGRICULTURAL
Site_067,32.59289,-68.91635,36054,BusStation,Node_4046,,COMMERCIAL
Site_068,27.43966,-89.74308,13873,PowerPlant,Node_1740,Plant_282,COMMERCIAL
Site_069,37.56475,-76.03206,33955,BusStation,Node_3838,,AGRICULTURAL
Site_070,45.29741,-112.63699,27063,BusStation,Node_8935,,NO_DATA_CENTER
Site_071,47.79622,-119.16343,19307,TransmissionNode,Node_7289,,RESIDENTIAL
Site_072,27.47423,-66.03919,44668,TransmissionNode,Node_5901,,INDUSTRIAL
Site_073,40.18524,-75.13846,26915,TransmissionNode,Node_1129,,NO_DATA_CENTER
Site_074,31.93686,-88.94912,24078,TransmissionNode,Node_5787,,AGRICULTURAL
Site_075,26.24713,-93.76338,15138,PowerPlant,Node_9139,Plant_766,INDUSTRIAL
Site_076,43.00735,-74.23449,43286,BusStation,Node_2011,,INDUSTRIAL
Site_077,40.70905,-119.46583,49095,PowerPlant,Node_1274,nan,AGRICULTURAL
Site_078,25.76714,-111.5008,46150,PowerPlant,Node_6430,nan,AGRICULTURAL
Site_079,31.1548,-74.0099,58538,TransmissionNode,Node_9209,,AGRICULTURAL
Site_080,46.06569,-114.642,10436,TransmissionNode,Node_1917,,COMMERCIAL
Site_081,37.84047,-70.0845,20973,TransmissionNode,Node_2220,,COMMERCIAL
Site_082,45.85788,-75.94732,38064,BusStation,Node_4249,,AGRICULTURAL
Site_083,25.17869,-107.75074,32978,BusStation,Node_2223,,COMMERCIAL
Site_084,25.18671,-91.82246,34747,PowerPlant,Node_1751,nan,RESIDENTIAL
Site_085,29.40142,-95.07583,24121,PowerPlant,Node_8300,nan,INDUSTRIAL
Site_086,44.01048,-110.14128,33350,BusStation,Node_3838,,COMMERCIAL
Site_087,45.83822,-101.766,34230,BusStation,Node_4254,,DATA_CENTER_OK
Site_088,35.97367,-93.62605,55744,BusStation,Node_9199,,COMMERCIAL
Site_089,27.38159,-115.21683,53265,PowerPlant,Node_9019,nan,RESIDENTIAL
Site_090,38.5001,-120.66674,13438,BusStation,Node_6302,,NO_DATA_CENTER
Site_091,45.13367,-113.81328,20305,PowerPlant,Node_2246,Plant_260,RESIDENTIAL
Site_092,32.95247,-91.40135,45051,TransmissionNode,Node_9381,,COMMERCIAL
Site_093,48.61004,-75.69031,27622,TransmissionNode,Node_7787,,AGRICULTURAL
Site_094,42.96487,-120.65952,31441,PowerPlant,Node_6570,nan,INDUSTRIAL
Site_095,24.28747,-103.32263,22003,BusStation,Node_5064,,DATA_CENTER_OK
Site_096,40.80359,-95.64936,27354,TransmissionNode,Node_6068,,INDUSTRIAL
Site_097,41.13295,-85.71446,33982,PowerPlant,Node_7265,nan,RESIDENTIAL
Site_098,32.56324,-120.34476,33511,PowerPlant,Node_8547,Plant_971,AGRICULTURAL
Site_099,25.21091,-106.53254,37647,PowerPlant,Node_6841,nan,NO_DATA_CENTER
Site_100,33.31354,-104.19314,33276,TransmissionNode,Node_2358,,INDUSTRIAL
Site_101,26.81605,-78.86048,53556,BusStation,Node_8947,,INDUSTRIAL
Site_102,27.62681,-105.26654,21654,PowerPlant,Node_2414,Plant_351,INDUSTRIAL
Site_103,39.60719,-112.95313,50346,BusStation,Node_8017,,AGRICULTURAL
Site_104,34.98266,-81.53241,34233,PowerPlant,Node_1001,Plant_627,COMMERCIAL
Site_105,42.66355,-89.85213,41070,PowerPlant,Node_9793,nan,RESIDENTIAL
Site_106,24.8551,-71.85695,33648,TransmissionNode,Node_1876,,COMMERCIAL
Site_107,25.96345,-92.53846,38664,PowerPlant,Node_2437,nan,INDUSTRIAL
Site_108,36.02464,-106.8583,22293,BusStation,Node_5157,,INDUSTRIAL
Site_109,28.91337,-75.59936,34731,TransmissionNode,Node_7114,,INDUSTRIAL
Site_110,37.59532,-78.83046,24373,PowerPlant,Node_8826,Plant_269,COMMERCIAL
Site_111,31.23247,-85.61769,31809,TransmissionNode,Node_5854,,INDUSTRIAL
Site_112,39.12127,-97.54925,22132,BusStation,Node_5062,,COMMERCIAL
Site_113,27.50609,-105.9835,46737,PowerPlant,Node_4802,Plant_859,DATA_CENTER_OK
Site_114,24.91699,-78.36016,43851,TransmissionNode,Node_6214,,AGRICULTURAL
Site_115,38.52022,-85.15058,55766,BusStation,Node_1806,,INDUSTRIAL
Site_116,45.66774,-95.10771,40091,PowerPlant,Node_1081,nan,INDUSTRIAL
Site_117,30.65841,-83.46404,12232,PowerPlant,Node_1098,nan,AGRICULTURAL
Site_118,26.4051,-86.76026,56553,BusStation,Node_5680,,INDUSTRIAL
Site_119,24.59477,-117.68159,22699,PowerPlant,Node_2133,nan,INDUSTRIAL
Site_120,24.44667,-80.42067,39625,BusStation,Node_7613,,INDUSTRIAL
Site_121,35.08893,-99.96699,35470,BusStation,Node_6173,,NO_DATA_CENTER
Site_122,36.70859,-71.91896,49487,PowerPlant,Node_8766,Plant_663,COMMERCIAL
Site_123,32.42081,-84.24934,18019,PowerPlant,Node_2072,Plant_624,DATA_CENTER_OK
Site_124,30.31968,-110.31593,28372,TransmissionNode,Node_7797,,DATA_CENTER_OK
Site_125,48.20151,-111.80899,19027,PowerPlant,Node_2094,nan,RESIDENTIAL
Site_126,32.38698,-103.94698,50526,PowerPlant,Node_5251,Plant_851,COMMERCIAL
Site_127,29.61752,-66.43658,27555,BusStation,Node_3955,,RESIDENTIAL
Site_128,48.74656,-112.52786,16024,TransmissionNode,Node_1733,,INDUSTRIAL
Site_129,41.15059,-93.61923,37163,PowerPlant,Node_7319,nan,COMMERCIAL
Site_130,32.63718,-104.89958,22227,PowerPlant,Node_7497,nan,COMMERCIAL
Site_131,37.19723,-70.51307,19093,TransmissionNode,Node_3855,,COMMERCIAL
Site_132,30.41898,-105.06118,15622,BusStation,Node_2697,,RESIDENTIAL
Site_133,25.33989,-70.2411,27134,PowerPlant,Node_1670,nan,RESIDENTIAL
Site_134,26.95217,-86.62636,53307,TransmissionNode,Node_8934,,AGRICULTURAL
Site_135,25.76258,-99.44729,14817,BusStation,Node_3493,,INDUSTRIAL
Site_136,27.56967,-89.40521,18691,BusStation,Node_7919,,INDUSTRIAL
Site_137,43.30209,-72.24509,32893,TransmissionNode,Node_4144,,DATA_CENTER_OK
Site_138,45.86166,-103.97231,37617,PowerPlant,Node_2551,Plant_899,RESIDENTIAL
Site_139,30.72805,-103.56682,56246,TransmissionNode,Node_1371,,COMMERCIAL
Site_140,47.79358,-79.91399,35828,PowerPlant,Node_5979,nan,DATA_CENTER_OK
Site_141,36.28003,-68.83884,46632,PowerPlant,Node_2929,nan,RESIDENTIAL
Site_142,31.34547,-68.78858,43761,BusStation,Node_6817,,RESIDENTIAL
Site_143,34.44539,-83.34899,49279,BusStation,Node_4545,,RESIDENTIAL
Site_144,42.10329,-108.54755,40417,TransmissionNode,Node_4374,,COMMERCIAL
Site_145,37.57542,-89.35745,15449,BusStation,Node_9224,,COMMERCIAL
Site_146,42.8794,-97.64256,28471,PowerPlant,Node_6011,nan,DATA_CENTER_OK
Site_147,45.76025,-109.92516,35755,BusStation,Node_8951,,AGRICULTURAL
Site_148,37.30177,-72.32127,26975,TransmissionNode,Node_3204,,DATA_CENTER_OK
Site_149,25.31137,-105.98929,43403,TransmissionNode,Node_6497,,AGRICULTURAL
Site_150,32.29811,-75.90494,47906,PowerPlant,Node_1942,nan,INDUSTRIAL
Site_151,46.88372,-89.00481,24864,TransmissionNode,Node_6420,,DATA_CENTER_OK
Site_152,39.80454,-73.20355,28530,PowerPlant,Node_4198,nan,DATA_CENTER_OK
Site_153,33.25496,-116.6261,41396,PowerPlant,Node_2221,Plant_555,INDUSTRIAL
Site_154,32.70256,-112.2716,34434,TransmissionNode,Node_3657,,DATA_CENTER_OK
Site_155,36.10211,-78.20335,36349,TransmissionNode,Node_6911,,COMMERCIAL
Site_156,41.9682,-117.59698,37052,BusStation,Node_9504,,DATA_CENTER_OK
Site_157,27.43366,-66.97101,54818,TransmissionNode,Node_2433,,COMMERCIAL
Site_158,30.16916,-111.79729,31543,TransmissionNode,Node_7351,,DATA_CENTER_OK
Site_159,32.52541,-88.31278,57414,PowerPlant,Node_5003,nan,DATA_CENTER_OK
Site_160,39.2324,-81.4549,45854,PowerPlant,Node_9424,Plant_616,COMMERCIAL
Site_161,31.36639,-74.98516,55893,PowerPlant,Node_9483,Plant_384,INDUSTRIAL
Site_162,27.69917,-79.30115,14355,TransmissionNode,Node_1830,,INDUSTRIAL
Site_163,36.30234,-111.47269,59191,BusStation,Node_4892,,RESIDENTIAL
Site_164,38.64571,-66.98412,29994,TransmissionNode,Node_2119,,AGRICULTURAL
Site_165,29.42363,-92.8729,56435,TransmissionNode,Node_7122,,INDUSTRIAL
Site_166,46.35501,-67.93706,27745,BusStation,Node_1784,,DATA_CENTER_OK
Site_167,35.00034,-72.27206,50540,TransmissionNode,Node_5338,,AGRICULTURAL
Site_168,34.25191,-100.36285,44116,BusStation,Node_1283,,RESIDENTIAL
Site_169,42.38581,-117.57147,31979,TransmissionNode,Node_6053,,COMMERCIAL
Site_170,39.18213,-108.01439,44709,TransmissionNode,Node_5813,,NO_DATA_CENTER
Site_171,37.30965,-97.24105,43780,TransmissionNode,Node_8061,,INDUSTRIAL
Site_172,31.66539,-96.39259,26705,BusStation,Node_2565,,INDUSTRIAL
Site_173,37.30913,-73.29408,32309,TransmissionNode,Node_5469,,DATA_CENTER_OK
Site_174,24.91281,-91.88398,45695,BusStation,Node_5722,,INDUSTRIAL
Site_175,32.72492,-110.06194,56104,PowerPlant,Node_6018,Plant_519,RESIDENTIAL
Site_176,35.02701,-70.15123,28108,PowerPlant,Node_1152,Plant_290,RESIDENTIAL
Site_177,40.64651,-124.28065,28531,BusStation,Node_9859,,INDUSTRIAL
Site_178,42.69971,-84.01319,13056,PowerPlant,Node_4380,nan,INDUSTRIAL
Site_179,40.95488,-107.92502,18674,BusStation,Node_7367,,DATA_CENTER_OK
Site_180,34.38208,-83.32489,54055,BusStation,Node_1327,,COMMERCIAL
Site_181,37.30411,-88.00354,32227,TransmissionNode,Node_3603,,INDUSTRIAL
Site_182,38.37745,-96.17514,33835,BusStation,Node_1643,,DATA_CENTER_OK
Site_183,40.68702,-85.62557,12561,BusStation,Node_7173,,DATA_CENTER_OK
Site_184,29.78046,-74.05817,34005,TransmissionNode,Node_6970,,DATA_CENTER_OK
Site_185,26.81306,-77.28721,52238,TransmissionNode,Node_2155,,COMMERCIAL
Site_186,45.99563,-96.20575,12012,TransmissionNode,Node_6888,,RESIDENTIAL
Site_187,39.89507,-92.23398,30647,BusStation,Node_1634,,COMMERCIAL
Site_188,37.31026,-71.40486,20513,TransmissionNode,Node_3795,,DATA_CENTER_OK
Site_189,41.37467,-121.08195,46311,BusStation,Node_7264,,COMMERCIAL
Site_190,34.28906,-108.47351,21693,PowerPlant,Node_1038,nan,RESIDENTIAL
Site_191,44.82257,-119.56233,25862,TransmissionNode,Node_8454,,RESIDENTIAL
Site_192,37.61301,-68.03188,39936,PowerPlant,Node_3537,nan,RESIDENTIAL
Site_193,36.75547,-82.36127,18259,BusStation,Node_3221,,DATA_CENTER_OK
Site_194,28.40869,-93.00992,15755,TransmissionNode,Node_7393,,INDUSTRIAL
Site_195,40.96369,-81.96948,57102,BusStation,Node_5831,,COMMERCIAL
Site_196,48.58995,-96.42057,45961,BusStation,Node_6782,,AGRICULTURAL
Site_197,48.90316,-69.53679,33262,PowerPlant,Node_8949,nan,INDUSTRIAL
Site_198,33.31092,-102.70323,42385,BusStation,Node_4708,,RESIDENTIAL
Site_199,27.29799,-93.60338,53427,PowerPlant,Node_8096,nan,INDUSTRIAL
Site_200,47.694,-105.15928,17786,PowerPlant,Node_4288,Plant_481,RESIDENTIAL
