Latitude,Longitude,SurfaceWater_Availability,Groundwater_Availability,Water_Stress_Index,Potable_Population_Served,Potable_Capacity_MGD
26.0,-84.31,1.61,0.52,0.94,30587,19.86
26.0,-82.28,2.08,4.16,0.31,25912,95.11
26.0,-80.24,3.97,3.33,0.74,58897,53.05
26.0,-78.21,3.1,1.33,0.97,150196,2.49
26.0,-76.17,2.71,4.15,0.84,482764,54.57
26.0,-74.14,0.15,1.97,0.36,82120,95.02
26.0,-72.1,3.07,4.58,0.6,112301,10.79
26.0,-70.07,4.99,3.28,0.18,344937,83.69
26.0,-68.03,0.04,3.12,0.17,236395,41.05
26.0,-66.0,1.69,0.69,0.41,423087,55.8
27.0,-125.0,0.37,1.59,0.61,369699,95.76
27.0,-122.97,4.09,2.15,0.47,151765,59.36
27.0,-120.93,0.03,4.07,0.12,277899,86.18
27.0,-118.9,0.15,1.04,0.3,118242,63.29
27.0,-116.86,4.08,1.02,0.84,493794,33.23
27.0,-114.83,0.75,4.49,0.93,273924,47.51
27.0,-112.79,0.34,4.54,0.19,327847,30.65
27.0,-110.76,4.17,4.2,0.52,416923,90.7
27.0,-108.72,4.03,1.81,0.89,239494,93.15
27.0,-106.69,0.14,0.92,0.61,248980,87.56
27.0,-104.66,4.16,1.48,0.85,488816,42.31
27.0,-102.62,3.65,0.24,0.29,49804,33.63
27.0,-100.59,4.11,0.24,0.56,406182,73.84
27.0,-98.55,0.37,0.21,0.13,494660,51.21
27.0,-96.52,0.14,2.16,0.98,176728,43.54
27.0,-94.48,3.93,4.63,0.33,353030,65.82
27.0,-92.45,4.37,1.97,0.46,55599,90.45
27.0,-90.41,2.39,2.66,0.53,41770,38.23
27.0,-88.38,0.11,4.28,0.09,207944,27.19
27.0,-86.34,4.18,4.43,0.58,348963,72.02
27.0,-84.31,4.54,3.35,0.85,131833,78.93
27.0,-82.28,3.4,1.21,0.81,366704,41.73
27.0,-80.24,3.62,2.98,0.35,364731,70.53
27.0,-78.21,2.12,1.45,0.58,412838,61.09
27.0,-76.17,1.42,2.7,0.24,482193,15.2
27.0,-74.14,4.29,0.06,0.37,447040,89.84
27.0,-72.1,4.86,3.57,0.07,142207,77.71
27.0,-70.07,0.35,3.44,0.44,47076,34.06
27.0,-68.03,4.35,2.78,0.7,288126,38.5
27.0,-66.0,0.86,1.71,0.08,57458,52.44
28.0,-125.0,2.95,0.05,0.94,416574,77.86
28.0,-122.97,0.15,4.71,0.92,291791,63.93
28.0,-120.93,3.23,4.65,0.27,335753,47.43
28.0,-118.9,4.67,2.11,0.12,195876,17.96
28.0,-116.86,1.18,2.25,0.54,228960,40.04
28.0,-114.83,1.85,0.15,0.52,56523,75.1
28.0,-112.79,0.53,1.99,0.58,238954,38.88
28.0,-110.76,3.1,4.27,0.34,222841,29.46
28.0,-108.72,1.94,3.96,0.12,353479,5.77
28.0,-106.69,3.49,0.53,0.8,53393,90.17
28.0,-104.66,4.22,0.69,0.2,215950,55.47
28.0,-102.62,1.37,0.51,0.74,32407,80.44
28.0,-100.59,1.61,4.12,0.04,407509,31.49
28.0,-98.55,2.98,2.75,0.75,333783,31.18
28.0,-96.52,4.79,2.75,0.86,191279,82.03
28.0,-94.48,4.57,1.15,0.6,2571,67.08
28.0,-92.45,4.0,0.2,0.81,493957,48.71
28.0,-90.41,4.91,2.04,0.7,489659,94.45
28.0,-88.38,1.2,1.92,0.88,497489,85.97
28.0,-86.34,3.84,3.06,0.55,226589,49.26
28.0,-84.31,1.26,0.73,0.18,21120,51.12
28.0,-82.28,3.24,3.15,0.7,438936,51.16
28.0,-80.24,1.8,2.58,0.45,453832,52.53
28.0,-78.21,1.14,2.18,0.03,212670,21.03
28.0,-76.17,0.92,1.9,0.11,311935,65.16
28.0,-74.14,2.88,2.68,0.91,123582,13.28
28.0,-72.1,1.02,1.66,0.05,127811,2.77
28.0,-70.07,3.78,3.87,0.1,467365,44.91
28.0,-68.03,2.12,3.5,0.41,420686,9.78
28.0,-66.0,1.47,1.16,0.3,434703,74.92
29.0,-125.0,1.62,1.68,0.69,80938,87.85
29.0,-122.97,4.75,3.8,0.91,439375,3.44
29.0,-120.93,1.05,3.39,0.88,216980,10.38
29.0,-118.9,4.98,4.42,0.69,338707,49.57
29.0,-116.86,1.7,3.78,0.37,484854,18.56
29.0,-114.83,3.59,2.56,0.47,100957,19.55
29.0,-112.79,2.29,4.92,0.0,266142,21.93
29.0,-110.76,2.05,2.41,0.52,218045,53.66
29.0,-108.72,3.56,1.68,0.22,434303,83.26
29.0,-106.69,1.73,1.7,0.4,487905,87.32
29.0,-104.66,0.46,0.72,0.53,196628,56.08
29.0,-102.62,3.22,1.62,0.68,196269,13.05
29.0,-100.59,4.06,4.5,0.22,371527,60.13
29.0,-98.55,0.79,3.33,0.75,281278,85.57
29.0,-96.52,4.98,0.59,0.65,190151,28.1
29.0,-94.48,0.58,2.64,0.31,81914,47.09
29.0,-92.45,4.58,4.31,0.22,329617,44.47
29.0,-90.41,4.86,1.75,0.38,434280,70.68
29.0,-88.38,1.1,3.71,0.83,222704,16.98
29.0,-86.34,3.5,0.4,0.76,340708,28.18
29.0,-84.31,1.24,1.59,0.39,78602,36.2
29.0,-82.28,3.52,1.03,0.95,42741,46.29
29.0,-80.24,2.08,4.03,0.7,6979,18.89
29.0,-78.21,2.46,4.76,0.05,383265,62.7
29.0,-76.17,0.37,2.4,0.29,428380,97.97
29.0,-74.14,3.32,4.62,0.23,393229,60.69
29.0,-72.1,0.54,3.29,0.89,46511,84.04
29.0,-70.07,4.1,1.67,0.37,34457,19.79
29.0,-68.03,0.62,4.5,0.03,396880,33.89
29.0,-66.0,1.63,1.11,0.05,267686,46.9
30.0,-125.0,0.56,3.8,0.7,244101,93.64
30.0,-122.97,3.68,3.25,0.87,56327,16.01
30.0,-120.93,2.58,3.16,0.53,163247,31.64
30.0,-118.9,3.92,0.09,0.91,57215,32.9
30.0,-116.86,3.44,0.64,0.79,286025,33.86
30.0,-114.83,4.16,1.21,0.29,197959,55.08
30.0,-112.79,1.13,4.58,0.61,448977,88.48
30.0,-110.76,2.89,3.22,0.68,8677,52.46
30.0,-108.72,2.5,4.26,0.42,87960,15.05
30.0,-106.69,2.55,0.84,0.29,347285,84.18
30.0,-104.66,1.74,1.08,0.58,217253,16.1
30.0,-102.62,4.46,0.64,0.3,126785,36.74
30.0,-100.59,2.63,2.15,0.13,389799,74.95
30.0,-98.55,1.4,2.7,0.26,213797,43.17
30.0,-96.52,4.65,1.34,0.25,87444,64.92
30.0,-94.48,1.92,2.12,0.6,375873,84.6
30.0,-92.45,3.85,1.22,0.07,143128,15.01
30.0,-90.41,4.24,4.85,0.96,124178,17.44
30.0,-88.38,3.77,3.38,0.36,37854,32.61
30.0,-86.34,3.55,1.47,0.85,481850,5.54
30.0,-84.31,0.24,0.52,0.15,90565,23.19
30.0,-82.28,0.34,4.83,0.49,123732,49.95
30.0,-80.24,0.57,2.64,0.8,413942,98.35
30.0,-78.21,1.57,2.58,0.8,114896,7.02
30.0,-76.17,4.03,0.7,0.32,29855,20.57
30.0,-74.14,4.0,4.47,0.97,253092,82.9
30.0,-72.1,4.86,2.48,0.77,11504,91.87
30.0,-70.07,2.26,1.37,0.87,183881,86.42
30.0,-68.03,0.07,3.2,0.21,293467,72.94
30.0,-66.0,1.34,3.68,0.13,273945,33.46
31.0,-125.0,4.94,2.27,0.61,216331,11.83
31.0,-122.97,4.55,0.94,0.35,284419,47.58
31.0,-120.93,3.64,4.28,0.9,320357,31.35
31.0,-118.9,2.42,3.44,0.17,364013,53.7
31.0,-116.86,4.38,2.69,0.8,246088,4.52
31.0,-114.83,1.68,0.18,0.56,77115,59.3
31.0,-112.79,3.14,2.45,0.52,54997,8.26
31.0,-110.76,4.77,3.37,0.27,174922,44.27
31.0,-108.72,0.41,1.44,0.94,478860,16.41
31.0,-106.69,3.55,3.33,0.01,43344,7.53
31.0,-104.66,2.2,3.12,0.75,18517,69.77
31.0,-102.62,4.8,1.83,0.2,244349,68.14
31.0,-100.59,1.45,1.55,0.27,409968,47.01
31.0,-98.55,3.16,3.63,0.49,268992,25.84
31.0,-96.52,2.39,3.08,0.53,455003,73.03
31.0,-94.48,1.17,1.54,0.58,137494,87.03
31.0,-92.45,4.24,3.16,0.74,88860,67.07
31.0,-90.41,4.22,1.55,0.29,8173,23.89
31.0,-88.38,4.32,4.3,0.8,353685,94.71
31.0,-86.34,0.56,4.04,0.87,64999,70.79
31.0,-84.31,3.4,4.62,0.68,123760,70.24
31.0,-82.28,3.44,4.53,0.25,62519,55.98
31.0,-80.24,3.37,1.73,0.93,267832,69.61
31.0,-78.21,4.08,4.67,0.93,195720,11.33
31.0,-76.17,0.88,3.47,0.07,266223,32.3
31.0,-74.14,4.76,2.68,0.24,409363,61.37
31.0,-72.1,3.54,2.97,0.18,321567,83.46
31.0,-70.07,0.46,1.78,0.52,337134,54.91
31.0,-68.03,4.83,1.12,0.48,20921,30.94
31.0,-66.0,2.55,3.61,0.21,473884,88.91
32.0,-125.0,0.25,1.44,0.57,338098,39.66
32.0,-122.97,3.64,2.14,0.75,360292,49.9
32.0,-120.93,2.16,3.44,0.39,454438,31.88
32.0,-118.9,0.99,2.17,0.8,400576,80.56
32.0,-116.86,0.04,1.51,0.54,451310,75.35
32.0,-114.83,3.38,0.89,0.37,447737,94.28
32.0,-112.79,3.3,3.16,0.33,361294,18.11
32.0,-110.76,3.13,0.53,0.73,226137,91.3
32.0,-108.72,3.51,0.82,0.95,438655,88.95
32.0,-106.69,3.52,0.78,0.29,378189,30.54
32.0,-104.66,1.14,3.96,0.26,265328,22.22
32.0,-102.62,2.95,4.81,0.47,361832,87.72
32.0,-100.59,1.94,2.22,0.35,390110,67.96
32.0,-98.55,2.01,4.75,0.42,242074,96.39
32.0,-96.52,0.06,2.52,0.5,308666,36.17
32.0,-94.48,0.21,1.44,0.24,68465,70.26
32.0,-92.45,0.62,1.54,0.28,442105,8.82
32.0,-90.41,3.53,4.85,0.53,206738,89.62
32.0,-88.38,1.07,0.02,0.65,478991,78.83
32.0,-86.34,1.56,4.27,0.35,273600,73.87
32.0,-84.31,0.88,3.15,0.96,21960,18.25
32.0,-82.28,3.01,3.95,0.42,107174,43.81
32.0,-80.24,1.56,3.17,0.01,421071,3.18
32.0,-78.21,2.66,1.3,0.35,114274,52.98
32.0,-76.17,4.85,1.83,0.84,400848,4.78
32.0,-74.14,2.29,4.27,0.69,397048,7.34
32.0,-72.1,3.68,4.52,0.55,70679,63.57
32.0,-70.07,0.36,4.36,0.4,393322,43.16
32.0,-68.03,2.09,3.26,0.6,444090,38.23
32.0,-66.0,2.13,2.0,0.16,441706,54.14
33.0,-125.0,4.57,4.86,0.86,421239,14.08
33.0,-122.97,4.05,4.87,0.9,177423,96.71
33.0,-120.93,3.43,4.18,0.89,30915,65.94
33.0,-118.9,2.94,4.47,0.52,415943,34.0
33.0,-116.86,2.01,3.97,0.07,455639,35.92
33.0,-114.83,0.12,0.64,0.02,370977,7.43
33.0,-112.79,2.37,3.91,0.55,327362,20.36
33.0,-110.76,1.78,0.15,0.98,333954,79.46
33.0,-108.72,1.14,4.55,0.2,244111,70.61
33.0,-106.69,2.78,1.54,0.13,170825,38.19
33.0,-104.66,1.69,4.14,0.02,365046,56.57
33.0,-102.62,3.96,2.89,0.47,272432,72.72
33.0,-100.59,3.45,0.67,0.85,424742,13.38
33.0,-98.55,1.27,0.21,0.47,141374,26.55
33.0,-96.52,0.76,4.72,0.53,242756,55.23
33.0,-94.48,1.18,3.28,0.39,411494,50.32
33.0,-92.45,2.64,2.36,0.04,33305,80.17
33.0,-90.41,2.22,0.86,0.02,198310,9.2
33.0,-88.38,1.2,2.18,0.85,360818,47.55
33.0,-86.34,0.28,4.1,0.61,450057,19.06
33.0,-84.31,4.46,2.54,0.32,428592,5.26
33.0,-82.28,2.8,2.42,0.19,304460,21.43
33.0,-80.24,3.56,1.76,0.99,444691,61.97
33.0,-78.21,0.09,4.25,0.36,64542,70.42
33.0,-76.17,1.93,0.02,0.85,77029,9.71
33.0,-74.14,0.5,0.57,0.46,204090,87.67
33.0,-72.1,2.95,3.01,0.84,168364,92.93
33.0,-70.07,1.22,4.08,0.75,2745,5.85
33.0,-68.03,3.12,1.63,0.31,74931,62.81
33.0,-66.0,0.88,4.28,0.46,139692,81.09
34.0,-125.0,0.7,3.83,0.71,200565,5.82
34.0,-122.97,0.79,3.98,0.38,294595,87.17
34.0,-120.93,2.81,0.84,0.75,376087,37.89
34.0,-118.9,4.25,2.44,0.79,63331,22.87
34.0,-116.86,4.43,1.53,0.88,224005,93.93
34.0,-114.83,2.1,2.21,0.65,442397,95.92
34.0,-112.79,0.13,3.54,0.83,254441,12.57
34.0,-110.76,0.15,4.02,0.53,313416,75.69
34.0,-108.72,2.7,3.43,0.43,129457,64.44
34.0,-106.69,3.92,1.51,0.17,37956,66.77
34.0,-104.66,3.74,4.71,0.68,85554,53.69
34.0,-102.62,1.82,4.63,0.4,398086,76.2
34.0,-100.59,0.97,2.21,0.85,116513,45.04
34.0,-98.55,3.04,1.85,0.53,314257,11.2
34.0,-96.52,3.68,2.25,0.96,48725,54.09
34.0,-94.48,0.51,2.61,0.16,79674,36.48
34.0,-92.45,4.74,0.25,0.12,284098,39.16
34.0,-90.41,3.25,0.64,0.17,245467,80.61
34.0,-88.38,3.34,3.16,0.12,494076,74.49
34.0,-86.34,3.26,1.36,0.46,216541,98.78
34.0,-84.31,2.55,0.75,0.27,142411,25.22
34.0,-82.28,1.28,3.18,0.13,214449,82.87
34.0,-80.24,3.69,3.39,0.78,353492,34.26
34.0,-78.21,0.8,1.6,0.5,362147,90.86
34.0,-76.17,2.88,3.24,0.91,130526,81.59
34.0,-74.14,2.76,4.64,0.99,173602,82.88
34.0,-72.1,0.43,3.79,0.53,344429,51.02
34.0,-70.07,4.82,1.66,0.07,362700,70.53
34.0,-68.03,0.82,0.6,0.6,99176,94.98
34.0,-66.0,3.46,3.51,0.87,388280,82.91
35.0,-125.0,3.21,1.45,0.11,386055,44.28
35.0,-122.97,0.13,3.36,0.6,42036,39.92
35.0,-120.93,2.27,2.94,0.73,81084,24.14
35.0,-118.9,0.07,2.12,1.0,321540,9.68
35.0,-116.86,0.72,3.18,0.12,57826,64.92
35.0,-114.83,3.29,1.53,0.03,385371,7.52
35.0,-112.79,2.27,3.07,0.39,100656,28.43
35.0,-110.76,0.22,4.62,0.62,480616,43.08
35.0,-108.72,0.83,0.84,0.67,214386,42.86
35.0,-106.69,0.34,1.08,0.8,169044,39.76
35.0,-104.66,4.98,4.01,0.58,440605,54.74
35.0,-102.62,1.27,4.38,0.59,86457,17.03
35.0,-100.59,2.72,0.16,0.38,112029,11.09
35.0,-98.55,1.88,3.95,0.45,30979,48.5
35.0,-96.52,1.67,1.42,0.1,31526,51.37
35.0,-94.48,3.8,1.39,0.43,471926,16.9
35.0,-92.45,1.79,2.62,0.44,292317,74.35
35.0,-90.41,2.74,3.49,0.64,359830,79.01
35.0,-88.38,4.01,4.71,0.21,285460,72.3
35.0,-86.34,0.56,1.2,0.11,33523,16.29
35.0,-84.31,1.46,1.86,0.83,397720,71.71
35.0,-82.28,2.77,1.33,0.22,361079,37.42
35.0,-80.24,0.27,1.22,0.27,55360,5.68
35.0,-78.21,1.38,3.38,0.66,498586,57.54
35.0,-76.17,2.05,3.69,0.93,285234,3.41
35.0,-74.14,4.68,4.87,0.21,435693,43.36
35.0,-72.1,3.53,3.51,0.4,350719,61.47
35.0,-70.07,3.4,4.11,0.25,145390,39.82
35.0,-68.03,0.9,4.43,0.64,78460,84.18
35.0,-66.0,3.57,0.0,0.47,200197,57.5
36.0,-125.0,4.08,0.95,0.02,420696,20.86
36.0,-122.97,2.36,4.09,0.98,339015,85.36
36.0,-120.93,4.31,3.24,0.34,213521,60.66
36.0,-118.9,0.79,1.14,0.73,174391,10.65
36.0,-116.86,2.71,0.42,0.16,51658,13.14
36.0,-114.83,3.93,0.8,0.91,276194,38.64
36.0,-112.79,0.77,1.38,0.61,126847,71.13
36.0,-110.76,0.84,3.2,0.38,264995,67.71
36.0,-108.72,3.4,1.93,0.43,314908,59.59
36.0,-106.69,4.5,4.33,0.05,273274,7.78
36.0,-104.66,3.68,3.03,0.45,33218,81.76
36.0,-102.62,3.92,1.78,0.93,13841,56.0
36.0,-100.59,0.2,4.83,1.0,227361,54.58
36.0,-98.55,0.45,0.66,0.35,185826,16.51
36.0,-96.52,0.83,1.59,0.58,60988,78.53
36.0,-94.48,1.54,0.07,0.5,267875,15.74
36.0,-92.45,3.62,4.22,0.67,17429,38.41
36.0,-90.41,3.61,3.01,0.34,63200,75.62
36.0,-88.38,0.86,2.72,0.78,109365,12.03
36.0,-86.34,0.39,2.24,0.56,121701,79.61
36.0,-84.31,3.44,1.42,0.15,325792,2.7
36.0,-82.28,1.93,3.21,0.6,411562,81.07
36.0,-80.24,3.6,1.99,0.45,378828,83.58
36.0,-78.21,0.9,3.18,0.78,209291,59.9
36.0,-76.17,4.76,4.09,0.01,4899,3.6
36.0,-74.14,3.98,2.98,0.17,38354,28.18
36.0,-72.1,3.58,0.2,0.86,433429,91.83
36.0,-70.07,1.6,0.49,0.27,358872,15.74
36.0,-68.03,4.67,2.72,0.17,419984,85.38
36.0,-66.0,3.27,2.48,0.91,109337,80.53
37.0,-125.0,2.42,2.49,0.73,31264,14.17
37.0,-122.97,2.07,0.84,0.46,44433,69.87
37.0,-120.93,2.83,2.91,0.64,231283,47.07
37.0,-118.9,2.85,4.06,0.65,395913,2.12
37.0,-116.86,4.22,2.06,0.27,44148,99.85
37.0,-114.83,1.99,1.0,0.38,297724,29.02
37.0,-112.79,3.48,3.3,0.84,394161,13.05
37.0,-110.76,1.79,2.48,0.73,243946,23.06
37.0,-108.72,2.02,3.96,0.12,159270,53.12
37.0,-106.69,2.63,4.64,0.43,392800,68.11
37.0,-104.66,4.05,1.61,0.2,389166,76.57
37.0,-102.62,4.67,1.01,0.04,466533,35.44
37.0,-100.59,4.32,4.42,0.61,122543,48.77
37.0,-98.55,2.13,4.81,0.95,320433,11.61
37.0,-96.52,2.85,3.78,0.95,382818,82.34
37.0,-94.48,1.01,0.3,0.64,281033,5.33
37.0,-92.45,1.55,1.73,0.3,443343,9.31
37.0,-90.41,1.01,0.06,0.52,247060,94.95
37.0,-88.38,4.74,0.79,0.21,385529,92.02
37.0,-86.34,2.59,3.12,0.22,461278,66.92
37.0,-84.31,1.08,4.49,0.44,73866,19.94
37.0,-82.28,2.09,4.67,0.45,174326,51.95
37.0,-80.24,1.11,4.52,0.34,440672,48.34
37.0,-78.21,2.22,2.97,0.55,429177,17.7
37.0,-76.17,0.13,4.57,0.09,378338,19.58
37.0,-74.14,1.56,1.55,0.98,378481,12.14
37.0,-72.1,2.55,0.38,0.35,485053,62.3
37.0,-70.07,1.16,4.59,0.45,213850,66.77
37.0,-68.03,4.96,2.29,0.44,28777,44.72
37.0,-66.0,0.36,2.72,0.85,149295,95.19
38.0,-125.0,3.5,2.77,0.3,195172,1.74
38.0,-122.97,2.63,0.22,0.53,245651,69.62
38.0,-120.93,0.01,0.41,0.85,216402,13.05
38.0,-118.9,0.34,0.99,0.73,73404,37.83
38.0,-116.86,0.85,3.33,0.38,218440,78.93
38.0,-114.83,2.19,4.64,0.48,151023,74.83
38.0,-112.79,0.51,3.18,0.46,315147,79.89
38.0,-110.76,0.71,4.06,0.35,316138,37.65
38.0,-108.72,4.3,0.73,0.29,213353,41.59
38.0,-106.69,2.61,1.16,0.15,296865,16.24
38.0,-104.66,0.91,1.89,0.67,169994,9.14
38.0,-102.62,3.99,0.35,0.05,302514,74.6
38.0,-100.59,3.51,2.98,0.33,256538,99.15
38.0,-98.55,3.76,1.45,0.86,166387,91.36
38.0,-96.52,4.1,4.91,0.88,389322,65.35
38.0,-94.48,0.97,2.0,0.41,215636,35.99
38.0,-92.45,1.57,0.1,0.03,273785,78.61
38.0,-90.41,0.23,0.75,0.83,126753,55.06
38.0,-88.38,2.79,1.34,0.73,272590,38.77
38.0,-86.34,2.3,0.23,0.4,309423,45.85
38.0,-84.31,2.01,3.85,0.89,195143,77.22
38.0,-82.28,3.26,1.81,0.13,241481,6.45
38.0,-80.24,4.49,0.05,0.74,41974,28.68
38.0,-78.21,2.16,2.23,0.58,406698,36.22
38.0,-76.17,1.43,2.96,0.21,146801,83.8
38.0,-74.14,4.4,0.14,0.58,84870,89.05
38.0,-72.1,1.01,0.12,0.37,400479,38.03
38.0,-70.07,4.53,1.4,0.11,89404,72.19
38.0,-68.03,0.85,0.28,0.33,35894,62.68
38.0,-66.0,2.77,3.89,0.72,491460,46.69
39.0,-125.0,1.47,2.56,0.91,449536,42.86
39.0,-122.97,4.28,4.59,0.97,371144,95.61
39.0,-120.93,4.55,3.84,0.86,353932,52.13
39.0,-118.9,0.33,0.07,0.32,219748,30.96
39.0,-116.86,3.59,3.12,0.66,187843,43.69
39.0,-114.83,0.46,1.02,0.56,7453,6.35
39.0,-112.79,1.96,0.76,0.37,82514,33.35
39.0,-110.76,1.37,2.11,0.08,195206,39.77
39.0,-108.72,0.15,3.97,0.36,262490,94.73
39.0,-106.69,3.04,0.78,0.78,434725,97.05
39.0,-104.66,2.25,0.79,0.55,351050,31.79
39.0,-102.62,3.27,0.33,0.62,180389,50.71
39.0,-100.59,3.08,2.11,0.26,325048,99.47
39.0,-98.55,2.17,3.53,0.84,262571,47.28
39.0,-96.52,1.33,3.49,0.83,418163,98.87
39.0,-94.48,4.92,1.47,0.1,29956,73.52
39.0,-92.45,0.11,2.42,0.15,101975,72.02
39.0,-90.41,4.46,0.5,0.78,437919,21.49
39.0,-88.38,0.41,2.95,0.0,462310,26.71
39.0,-86.34,3.92,0.84,0.25,397731,40.52
39.0,-84.31,2.09,1.64,0.16,209079,81.22
39.0,-82.28,2.25,2.37,0.64,478574,16.63
39.0,-80.24,3.41,3.15,0.13,326846,96.41
39.0,-78.21,2.12,0.86,0.23,34275,46.56
39.0,-76.17,0.35,3.27,0.77,36816,65.44
39.0,-74.14,1.84,4.79,0.22,43510,8.17
39.0,-72.1,1.33,4.75,0.34,176177,5.94
39.0,-70.07,4.99,4.64,0.55,441844,15.12
39.0,-68.03,4.01,4.75,0.1,67878,37.62
39.0,-66.0,2.6,1.13,0.57,185097,52.44
40.0,-125.0,0.3,1.09,0.99,328223,6.42
40.0,-122.97,3.55,2.31,0.68,487683,66.53
40.0,-120.93,0.64,0.57,0.84,177103,99.81
40.0,-118.9,4.58,1.75,0.49,160007,59.23
40.0,-116.86,4.09,0.78,0.37,320944,20.25
40.0,-114.83,0.0,4.01,0.13,395732,67.42
40.0,-112.79,0.52,2.59,0.66,98225,5.82
40.0,-110.76,4.64,2.42,0.13,494403,71.15
40.0,-108.72,2.05,4.87,0.12,253264,39.82
40.0,-106.69,3.69,3.75,0.14,283833,54.36
40.0,-104.66,0.17,2.3,0.84,497679,37.04
40.0,-102.62,0.7,0.8,0.99,449944,19.05
40.0,-100.59,3.5,0.09,0.37,430917,71.93
40.0,-98.55,0.87,2.09,0.34,30020,61.26
40.0,-96.52,1.8,2.05,0.92,93836,61.47
